AGENT_NAME,WEEK_START,CASES_HANDLED,CASES_RESOLVED,AVG_RESOLUTION_TIME_HOURS,AVG_CSAT_SCORE,ESCALATION_RATE
Emma Thompson,2025-12-08,13,10,8.8,3.5,0.06
Emma Thompson,2025-12-15,8,7,11.4,3.7,0.25
Emma Thompson,2025-12-22,9,6,7.1,4.7,0.16
Emma Thompson,2025-12-29,11,10,11.6,4.5,0.07
Emma Thompson,2026-01-05,18,13,9.8,3.8,0.18
Emma Thompson,2026-01-12,18,14,8.8,4.3,0.04
Emma Thompson,2026-01-19,16,14,8.9,3.7,0.12
Emma Thompson,2026-01-26,21,20,11.2,3.5,0.11
Emma Thompson,2026-02-02,25,20,11.1,3.1,0.15
Emma Thompson,2026-02-09,15,11,13.3,4.3,0.09
Emma Thompson,2026-02-16,18,13,10.8,4.2,0.22
Carlos Garcia,2025-12-01,13,11,3.9,3.6,0.04
Carlos Garcia,2025-12-08,23,20,5.7,4.2,0.16
Carlos Garcia,2025-12-15,21,15,10.4,4.1,0.06
Carlos Garcia,2025-12-22,25,22,8.8,3.5,0.08
Carlos Garcia,2025-12-29,15,10,6.5,4.3,0.13
Carlos Garcia,2026-01-05,9,7,7.1,4.1,0.17
Carlos Garcia,2026-01-12,23,17,10.5,3.9,0.09
Carlos Garcia,2026-01-19,10,8,12.3,4.5,0.13
Carlos Garcia,2026-01-26,16,11,7.5,3.8,0.22
Carlos Garcia,2026-02-02,19,14,11.6,4.0,0.08
Carlos Garcia,2026-02-09,16,13,11.2,4.5,0.04
Carlos Garcia,2026-02-16,19,17,5.4,4.3,0.07
Aisha Johnson,2025-12-01,9,8,10.1,3.4,0.14
Aisha Johnson,2025-12-08,23,19,9.2,4.3,0.11
Aisha Johnson,2025-12-15,9,7,12.6,3.4,0.18
Aisha Johnson,2025-12-22,12,8,9.1,3.6,0.25
Aisha Johnson,2025-12-29,14,12,10.8,4.3,0.25
Aisha Johnson,2026-01-05,21,15,9.6,3.6,0.16
Aisha Johnson,2026-01-12,18,17,9.8,3.8,0.11
Aisha Johnson,2026-01-19,20,17,10.9,3.4,0.23
Aisha Johnson,2026-01-26,8,7,6.8,3.5,0.12
Aisha Johnson,2026-02-02,21,15,6.0,3.6,0.24
Aisha Johnson,2026-02-09,11,10,7.9,3.8,0.09
Aisha Johnson,2026-02-16,25,23,10.4,3.6,0.17
David Kim,2025-12-01,23,16,8.8,4.2,0.16
David Kim,2025-12-08,20,14,10.7,3.6,0.07
David Kim,2025-12-15,23,22,9.4,3.8,0.21
David Kim,2025-12-22,17,13,11.7,3.1,0.18
David Kim,2025-12-29,15,11,11.7,3.8,0.21
David Kim,2026-01-05,16,14,8.1,3.8,0.12
David Kim,2026-01-12,21,19,9.3,2.9,0.21
David Kim,2026-01-19,24,22,12.6,4.2,0.11
David Kim,2026-01-26,24,22,10.6,4.0,0.21
David Kim,2026-02-02,9,6,3.6,4.2,0.18
David Kim,2026-02-09,16,12,6.5,4.0,0.23
David Kim,2026-02-16,8,6,6.3,3.9,0.24
Rachel Foster,2025-12-01,23,19,8.1,4.1,0.23
Rachel Foster,2025-12-08,10,7,7.9,4.1,0.15
Rachel Foster,2025-12-15,14,13,6.7,3.3,0.08
Rachel Foster,2025-12-22,21,17,13.3,2.9,0.18
Rachel Foster,2025-12-29,23,21,7.0,3.4,0.02
Rachel Foster,2026-01-05,16,13,12.7,3.6,0.18
Rachel Foster,2026-01-12,16,13,7.3,4.2,0.08
Rachel Foster,2026-01-19,22,17,5.5,3.8,0.15
Rachel Foster,2026-01-26,8,6,6.5,3.1,0.11
Rachel Foster,2026-02-02,17,13,9.7,4.0,0.25
Rachel Foster,2026-02-09,18,16,8.7,4.7,0.23
Rachel Foster,2026-02-16,17,12,7.2,3.9,0.03
Tom Martinez,2025-12-01,20,17,7.3,3.2,0.17
Tom Martinez,2025-12-08,17,13,6.8,4.1,0.03
Tom Martinez,2025-12-15,14,11,8.1,3.2,0.17
Tom Martinez,2025-12-22,23,21,7.6,3.4,0.21
Tom Martinez,2025-12-29,25,18,10.1,4.1,0.08
Tom Martinez,2026-01-05,25,22,10.5,4.6,0.1
Tom Martinez,2026-01-12,10,7,9.8,4.9,0.12
Tom Martinez,2026-01-19,18,14,6.6,3.6,0.05
Tom Martinez,2026-01-26,9,8,3.8,3.3,0.04
Tom Martinez,2026-02-02,14,11,10.6,3.5,0.09
Tom Martinez,2026-02-09,9,8,13.6,5.0,0.1
Tom Martinez,2026-02-16,22,16,10.0,3.7,0.04
